iter	Passed	Remaining
0	0	70
1	1	65
2	1	61
3	2	56
4	2	55
5	3	54
6	4	54
7	4	54
8	5	53
9	5	53
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	50
16	10	50
17	10	49
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	41
32	19	40
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	36
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
