iter	Passed	Remaining
0	130	130577
1	131	65737
2	132	44089
3	133	33189
4	134	26779
5	135	22402
6	136	19328
7	138	17128
8	140	15472
9	141	13999
10	141	12762
11	142	11730
12	142	10856
13	143	10108
14	144	9464
15	144	8897
16	145	8400
17	145	7951
18	146	7574
19	147	7216
20	148	6901
21	149	6633
22	150	6384
23	151	6145
24	151	5914
25	152	5702
26	153	5518
27	153	5333
28	154	5161
29	154	5000
30	155	4852
31	155	4712
32	156	4585
33	156	4459
34	157	4351
35	158	4248
36	159	4143
37	159	4043
38	160	3953
39	160	3862
40	161	3779
41	162	3698
42	162	3623
43	163	3556
44	164	3492
45	165	3429
46	166	3367
47	166	3308
48	167	3247
49	167	3189
50	168	3132
51	169	3085
52	169	3034
53	170	2984
54	171	2940
55	172	2900
56	172	2855
57	173	2814
58	174	2784
59	175	2743
60	175	2706
61	176	2667
62	177	2636
63	178	2606
64	178	2572
65	179	2538
66	179	2504
67	180	2474
68	181	2443
69	181	2415
70	182	2387
71	182	2358
72	183	2329
73	183	2301
74	184	2275
75	184	2248
76	185	2223
77	186	2199
78	186	2175
79	187	2151
80	187	2128
81	188	2105
82	188	2080
83	188	2059
84	189	2038
85	189	2018
86	190	1998
87	190	1978
88	191	1960
89	192	1943
90	192	1925
91	193	1908
92	193	1891
93	194	1875
94	195	1860
95	196	1846
96	196	1831
97	197	1818
98	198	1803
99	198	1789
100	199	1775
101	200	1762
102	200	1747
103	201	1734
104	202	1722
105	202	1708
106	203	1695
107	203	1682
108	204	1669
109	204	1657
110	205	1645
111	205	1632
112	206	1621
113	207	1609
114	207	1598
115	208	1588
116	209	1578
117	209	1569
118	210	1558
119	211	1549
120	212	1541
121	212	1530
122	213	1520
123	213	1510
124	214	1500
125	215	1491
126	215	1481
127	216	1471
128	216	1462
129	217	1453
130	217	1445
131	218	1436
132	219	1429
133	220	1422
134	220	1414
135	221	1407
136	222	1398
137	222	1391
138	223	1386
139	224	1379
140	225	1374
141	226	1367
142	226	1359
143	227	1353
144	228	1345
145	228	1338
146	229	1331
147	230	1324
148	230	1317
149	231	1311
150	231	1303
151	232	1298
152	233	1291
153	234	1286
154	234	1279
155	235	1272
156	235	1265
157	236	1259
158	236	1252
159	237	1246
160	237	1239
161	238	1234
162	239	1228
163	240	1223
164	240	1218
165	241	1211
166	241	1205
167	242	1199
168	242	1193
169	243	1187
170	243	1182
171	244	1176
172	244	1170
173	245	1164
174	245	1159
175	246	1153
176	246	1147
177	247	1142
178	247	1136
179	248	1131
180	249	1126
181	249	1121
182	250	1116
183	250	1110
184	250	1105
185	251	1100
186	251	1095
187	252	1090
188	253	1085
189	253	1082
190	254	1077
191	255	1074
192	255	1070
193	256	1065
194	256	1060
195	257	1056
196	257	1051
197	258	1046
198	258	1042
199	259	1037
200	259	1033
201	260	1028
202	260	1024
203	261	1020
204	262	1016
205	262	1012
206	263	1007
207	263	1003
208	264	999
209	264	995
210	265	991
211	265	987
212	266	983
213	266	979
214	267	975
215	267	971
216	268	967
217	268	963
218	269	960
219	270	957
220	270	953
221	271	950
222	271	946
223	272	942
224	272	939
225	273	935
226	273	932
227	274	929
228	274	925
229	275	922
230	275	918
231	276	915
232	276	911
233	277	908
234	278	905
235	278	902
236	279	899
237	279	896
238	280	893
239	281	890
240	281	887
241	282	885
242	283	883
243	284	881
244	285	878
245	285	876
246	286	874
247	287	871
248	288	869
249	289	867
250	289	864
251	290	861
252	290	858
253	291	855
254	291	852
255	292	849
256	292	846
257	293	843
258	293	841
259	294	837
260	294	835
261	295	832
262	296	829
263	296	826
264	297	823
265	297	821
266	298	818
267	298	815
268	299	814
269	300	812
270	301	810
271	301	807
272	302	804
273	302	801
274	303	799
275	303	796
276	304	793
277	304	791
278	305	788
279	305	786
280	306	783
281	306	781
282	307	778
283	307	776
284	308	774
285	309	771
286	309	769
287	310	767
288	311	765
289	311	763
290	312	761
291	313	758
292	313	756
293	314	754
294	315	752
295	315	751
296	316	749
297	317	747
298	317	745
299	318	743
300	319	740
301	319	738
302	320	736
303	320	734
304	321	732
305	322	731
306	323	729
307	323	727
308	324	724
309	324	722
310	325	720
311	326	719
312	326	717
313	327	715
314	328	713
315	328	711
316	329	708
317	329	707
318	330	706
319	331	704
320	332	703
321	333	701
322	333	699
323	334	697
324	335	696
325	335	694
326	336	692
327	337	690
328	337	688
329	338	686
330	338	684
331	339	682
332	339	680
333	340	679
334	341	677
335	342	675
336	342	674
337	343	672
338	343	670
339	344	669
340	345	667
341	346	666
342	347	665
343	348	664
344	349	662
345	349	661
346	350	659
347	351	657
348	351	655
349	351	653
350	352	651
351	353	650
352	353	648
353	354	646
354	355	645
355	355	643
356	356	641
357	356	639
358	357	638
359	358	637
360	358	635
361	359	633
362	360	632
363	361	631
364	362	630
365	362	628
366	363	626
367	363	624
368	364	623
369	365	622
370	366	620
371	366	619
372	367	618
373	368	616
374	368	614
375	369	612
376	369	611
377	370	609
378	370	607
379	371	605
380	371	603
381	372	602
382	372	600
383	373	598
384	373	597
385	374	595
386	375	594
387	375	592
388	376	591
389	377	589
390	377	588
391	378	586
392	378	585
393	379	583
394	379	581
395	380	580
396	380	578
397	381	576
398	381	575
399	382	573
400	382	572
401	383	570
402	384	568
403	384	567
404	385	565
405	385	564
406	386	562
407	386	560
408	387	559
409	387	558
410	388	556
411	389	555
412	389	553
413	390	552
414	391	552
415	392	550
416	393	549
417	394	548
418	395	547
419	395	546
420	396	545
421	396	543
422	397	542
423	398	540
424	398	539
425	399	538
426	400	536
427	400	535
428	401	534
429	402	532
430	402	531
431	402	529
432	403	528
433	403	526
434	404	525
435	405	524
436	406	523
437	406	521
438	407	520
439	408	519
440	408	518
441	409	516
442	410	515
443	410	514
444	411	512
445	411	511
446	412	509
447	412	508
448	413	507
449	413	505
450	414	504
451	414	502
452	415	501
453	415	499
454	416	498
455	416	497
456	417	495
457	417	494
458	418	492
459	418	491
460	419	489
461	419	488
462	420	487
463	420	486
464	421	484
465	422	483
466	422	482
467	423	481
468	424	480
469	424	478
470	425	477
471	425	476
472	426	474
473	426	473
474	427	472
475	427	470
476	428	469
477	428	468
478	429	466
479	429	465
480	430	464
481	430	463
482	431	461
483	432	460
484	432	459
485	433	458
486	433	457
487	434	455
488	434	454
489	435	453
490	436	452
491	436	450
492	437	449
493	438	448
494	438	447
495	439	446
496	440	445
497	440	444
498	441	442
499	441	441
500	442	440
501	442	439
502	443	438
503	443	436
504	444	435
505	445	434
506	445	433
507	446	432
508	447	431
509	448	430
510	448	429
511	449	428
512	449	426
513	450	425
514	450	424
515	451	423
516	452	422
517	452	421
518	453	420
519	454	419
520	455	418
521	455	417
522	456	416
523	456	414
524	457	413
525	458	413
526	458	411
527	459	410
528	460	409
529	460	408
530	461	407
531	462	406
532	462	405
533	463	404
534	463	403
535	464	401
536	464	400
537	465	399
538	465	398
539	466	397
540	467	396
541	468	395
542	468	394
543	469	393
544	470	392
545	470	391
546	471	390
547	471	389
548	472	387
549	472	386
550	473	385
551	474	384
552	474	383
553	475	382
554	475	381
555	476	380
556	476	379
557	477	378
558	478	377
559	478	376
560	479	374
561	479	373
562	480	372
563	480	371
564	481	370
565	482	369
566	482	368
567	483	367
568	484	366
569	484	365
570	485	364
571	485	363
572	486	362
573	486	361
574	487	360
575	487	359
576	488	358
577	489	357
578	489	356
579	490	355
580	491	354
581	491	353
582	492	352
583	493	351
584	494	350
585	495	349
586	495	348
587	496	347
588	497	347
589	498	346
590	499	345
591	500	344
592	501	343
593	501	342
594	502	342
595	503	341
596	504	340
597	504	339
598	505	338
599	506	337
600	507	336
601	508	335
602	508	334
603	509	333
604	510	332
605	510	332
606	511	331
607	512	330
608	513	329
609	513	328
610	514	327
611	515	326
612	515	325
613	516	324
614	517	323
615	517	322
616	518	321
617	519	321
618	520	320
619	520	319
620	521	318
621	521	317
622	522	316
623	523	315
624	524	314
625	524	313
626	525	312
627	525	311
628	527	310
629	528	310
630	528	309
631	529	308
632	530	307
633	531	306
634	532	306
635	533	305
636	533	304
637	535	303
638	535	302
639	536	301
640	537	300
641	537	299
642	538	298
643	538	297
644	539	296
645	539	295
646	540	294
647	541	293
648	541	292
649	542	292
650	543	291
651	543	290
652	544	289
653	545	288
654	546	287
655	546	286
656	547	285
657	547	284
658	548	283
659	549	283
660	550	282
661	550	281
662	551	280
663	552	279
664	552	278
665	553	277
666	553	276
667	554	275
668	555	274
669	556	273
670	556	272
671	557	272
672	558	271
673	558	270
674	559	269
675	559	268
676	560	267
677	561	266
678	561	265
679	562	264
680	562	263
681	563	262
682	564	261
683	564	260
684	565	259
685	565	258
686	566	258
687	566	257
688	567	256
689	567	255
690	568	254
691	569	253
692	569	252
693	570	251
694	570	250
695	571	249
696	571	248
697	572	247
698	573	246
699	573	245
700	574	245
701	575	244
702	575	243
703	576	242
704	576	241
705	577	240
706	577	239
707	578	238
708	579	237
709	579	236
710	580	235
711	581	235
712	581	234
713	582	233
714	582	232
715	583	231
716	584	230
717	584	229
718	585	228
719	586	228
720	587	227
721	587	226
722	588	225
723	589	224
724	590	223
725	590	222
726	591	222
727	591	221
728	592	220
729	592	219
730	593	218
731	594	217
732	594	216
733	595	215
734	595	214
735	596	213
736	596	213
737	597	212
738	598	211
739	598	210
740	599	209
741	599	208
742	600	207
743	600	206
744	601	205
745	601	204
746	602	204
747	603	203
748	603	202
749	604	201
750	605	200
751	606	199
752	606	199
753	607	198
754	607	197
755	608	196
756	608	195
757	609	194
758	609	193
759	610	192
760	611	191
761	611	191
762	612	190
763	613	189
764	613	188
765	614	187
766	615	186
767	616	186
768	617	185
769	618	184
770	618	183
771	619	183
772	621	182
773	621	181
774	622	180
775	623	179
776	623	179
777	624	178
778	625	177
779	626	176
780	627	175
781	627	175
782	628	174
783	629	173
784	629	172
785	630	171
786	630	170
787	631	169
788	632	169
789	632	168
790	633	167
791	633	166
792	634	165
793	635	164
794	636	164
795	636	163
796	637	162
797	638	161
798	638	160
799	639	159
800	639	158
801	640	158
802	640	157
803	641	156
804	642	155
805	643	154
806	643	153
807	644	153
808	645	152
809	646	151
810	646	150
811	647	149
812	647	149
813	648	148
814	649	147
815	650	146
816	650	145
817	651	144
818	652	144
819	653	143
820	654	142
821	654	141
822	655	141
823	656	140
824	657	139
825	657	138
826	658	137
827	659	137
828	660	136
829	660	135
